"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","New vikram https://t.co/eQCtFm03bQ",FALSE,0,NA,2015-01-20 07:41:50,FALSE,NA,"557442866432446464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KaneStunts",0,FALSE,FALSE,NA,NA,"https://twitter.com/KaneStunts"
"2","RT @AiMovie: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/XQcQih4n57 http://t.co/5l…",FALSE,0,NA,2015-01-20 07:41:50,FALSE,NA,"557442863584116736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","msuryamsc",17,TRUE,FALSE,NA,NA,"https://twitter.com/msuryamsc"
"3","@Robo1235 vikram never said like that..even he said he love superstar so much... many times",FALSE,0,"Robo1235",2015-01-20 07:41:36,FALSE,"557441578470363137","557442805757267968","149597159","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","itisnmk",0,FALSE,FALSE,NA,NA,"https://twitter.com/itisnmk"
"4","RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://t…",FALSE,0,NA,2015-01-20 07:41:35,FALSE,NA,"557442800979935233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rvsiva17",32,TRUE,FALSE,NA,NA,"https://twitter.com/rvsiva17"
"5","@Banned_tweeter Best part of the 100c WW gross is #Chiyaan #Vikram made it happen the fastest Indian film..#Chiyaanroxxx",FALSE,0,"Banned_tweeter",2015-01-20 07:41:30,FALSE,"557172326832148481","557442781577084930","1320330026","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Krishna_4",0,FALSE,FALSE,NA,NA,"https://twitter.com/Krishna_4"
"6","RT @Showbiz_IT: Alone starring @bipsluvurself &amp; @Iamksgofficial earns Rs 14 cr in opening weekend http://t.co/96eh9fObMC #ITShowbiz http://…",FALSE,0,NA,2015-01-20 07:40:55,FALSE,NA,"557442635330097152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IndiaToday",1,TRUE,FALSE,NA,NA,"https://twitter.com/IndiaToday"
"7","RT @DaburHoney_Ind: Five questions over!! Five more to go!!
RT if you are having fun with #Jealubbies!",FALSE,0,NA,2015-01-20 07:40:22,FALSE,NA,"557442495827566593",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vikram_sun",60,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"8","RT @ASUSIndia: Amazing answers &amp; active participation. We are having fun with the #EeeBook contest, are you?",FALSE,0,NA,2015-01-20 07:40:18,FALSE,NA,"557442477624266752",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vikram_sun",35,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"9","Alone starring @bipsluvurself &amp; @Iamksgofficial earns Rs 14 cr in opening weekend http://t.co/96eh9fObMC #ITShowbiz http://t.co/KeHUrLTdqH",FALSE,0,NA,2015-01-20 07:40:17,FALSE,NA,"557442474335944706",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Showbiz_IT",1,FALSE,FALSE,NA,NA,"https://twitter.com/Showbiz_IT"
"10","RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydD…",FALSE,0,NA,2015-01-20 07:40:13,FALSE,NA,"557442458535993344",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","vinostudent",8,TRUE,FALSE,NA,NA,"https://twitter.com/vinostudent"
"11","RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,0,NA,2015-01-20 07:40:00,FALSE,NA,"557442403066335233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kukki1411",9,TRUE,FALSE,NA,NA,"https://twitter.com/kukki1411"
"12","@Ramsicool yeah.. other than vikram's dedication, there is nothing new in that film.",FALSE,0,"Ramsicool",2015-01-20 07:39:43,FALSE,"557441841994268672","557442334502043648","288130331","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sevish",0,FALSE,FALSE,NA,NA,"https://twitter.com/sevish"
"13","RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://t…",FALSE,0,NA,2015-01-20 07:38:16,FALSE,NA,"557441967714340864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ka4huk",32,TRUE,FALSE,NA,NA,"https://twitter.com/ka4huk"
"14","RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/…",FALSE,0,NA,2015-01-20 07:38:12,FALSE,NA,"557441949762744320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mano1907",21,TRUE,FALSE,NA,NA,"https://twitter.com/mano1907"
"15","RT @telugu24x7: #imovie world wide collections #Telugu24x7 #Shankar #Vikram http://t.co/gvqftjpqdf",FALSE,0,NA,2015-01-20 07:37:53,FALSE,NA,"557441871849328640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Autonagar_Chai",1,TRUE,FALSE,NA,NA,"https://twitter.com/Autonagar_Chai"
"16","RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/…",FALSE,0,NA,2015-01-20 07:37:51,FALSE,NA,"557441861884051456",NA,"<a href=""http://www.samsungmobile.com"" rel=""nofollow"">Samsung Mobile</a>","chikkooong1",21,TRUE,FALSE,NA,NA,"https://twitter.com/chikkooong1"
"17","@sevish u must respect at least for #Vikram dedication ...",FALSE,0,"sevish",2015-01-20 07:37:46,FALSE,"557440981373419520","557441841994268672","814659768","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ramsicool",0,FALSE,FALSE,"0","0","https://twitter.com/Ramsicool"
"18","RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shank…",FALSE,0,NA,2015-01-20 07:37:34,FALSE,NA,"557441790144290816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sri89",19,TRUE,FALSE,NA,NA,"https://twitter.com/sri89"
"19","RT @tamil_films: What Did Vikram Do With His Salary Earned From I(Ai)? 

Read more at: http://t.co/MFl9vsziCj http://t.co/tMxBPye9i1",FALSE,0,NA,2015-01-20 07:37:30,FALSE,NA,"557441774201753600",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","gopinathan_bas",2,TRUE,FALSE,NA,NA,"https://twitter.com/gopinathan_bas"
"20","RT @RDBalaji: #Chiyaan #Vikram's #I #Imovie Worldwide Collection
India - 107 Crs
Overseas - 33 Crs
Total - 140 Crs  Awesome http://t.co/1Hl…",FALSE,0,NA,2015-01-20 07:37:23,FALSE,NA,"557441745114644480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Autonagar_Chai",7,TRUE,FALSE,NA,NA,"https://twitter.com/Autonagar_Chai"
"21","RT @Addi_Salman: #I Collected Huge 95cr Nett In Just 5 Days(India Only)..8.50Cr Nett In North India &amp; WOM Is Very Positive Here..Congo Vikr…",FALSE,0,NA,2015-01-20 07:37:20,FALSE,NA,"557441734435942400",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","pradyuman2391",1,TRUE,FALSE,NA,NA,"https://twitter.com/pradyuman2391"
"22","RT @ASUSIndia: A reminder of our rules, make sure you RT all our tweets and send in the right answers. Have you answered all our questions?…",FALSE,0,NA,2015-01-20 07:37:17,FALSE,NA,"557441719503814657",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vikram_sun",48,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"23","RT @DaburHoney_Ind: Check out the link: https://t.co/0bckX4EpY9 and answer the 5th question! 
#Jealubbies #contest",FALSE,0,NA,2015-01-20 07:37:07,FALSE,NA,"557441676822601728",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vikram_sun",93,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"24","@itisnmk simple vj fans supported i recently Vikram openly said hardcore fan of vj ie reason",FALSE,0,"itisnmk",2015-01-20 07:36:43,FALSE,"557441133941227520","557441578470363137","110680505","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Robo1235",0,FALSE,FALSE,NA,NA,"https://twitter.com/Robo1235"
"25","I starring Vikram collects Rs 100 crore in its opening weekend: There was a lot of hype around filmmaker Filmm... http://t.co/pRorjQruno",FALSE,0,NA,2015-01-20 07:36:38,FALSE,NA,"557441557238779904",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","AshikOnFire",0,FALSE,FALSE,NA,NA,"https://twitter.com/AshikOnFire"
"26","I starring Vikram collects Rs 100 crore in its opening weekend: There was a lot of hype around filmmaker Filmm... http://t.co/0Fp38J1sN9",FALSE,0,NA,2015-01-20 07:36:36,FALSE,NA,"557441548523040768",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","shambhusinghaa",0,FALSE,FALSE,NA,NA,"https://twitter.com/shambhusinghaa"
"27","ISBPL: #NEWS I starring Vikram collects Rs 100 crore in its opening weekend: There was a lot of hype ar... http://t.co/wvKo3DeJ9t #world",FALSE,0,NA,2015-01-20 07:36:29,FALSE,NA,"557441518521159680",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","sapangoyal",0,FALSE,FALSE,NA,NA,"https://twitter.com/sapangoyal"
"28","RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://t…",FALSE,0,NA,2015-01-20 07:36:26,FALSE,NA,"557441507792134147",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chandu_534",32,TRUE,FALSE,NA,NA,"https://twitter.com/Chandu_534"
"29","RT @chiyaanvikram: #Chiyaan #Vikram's '#I' Storms #UK Box Office 

#Imovie @Aascars @iamAmyJackson 

http://t.co/uYfYWC5T1g http://t.co/8n9…",FALSE,0,NA,2015-01-20 07:36:21,FALSE,NA,"557441485381963776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","damel13",55,TRUE,FALSE,NA,NA,"https://twitter.com/damel13"
"30","RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://t…",FALSE,0,NA,2015-01-20 07:36:16,FALSE,NA,"557441463441952769",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","i_Sreeraj",32,TRUE,FALSE,NA,NA,"https://twitter.com/i_Sreeraj"
"31","RT @RDBalaji: @varun477 @Aascars yes i saw 8 times till now. no one left theatre until VIKRAM's last pose :) real success #i #Imovie",FALSE,0,NA,2015-01-20 07:35:57,FALSE,NA,"557441385247174656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avisbliss",28,TRUE,FALSE,NA,NA,"https://twitter.com/avisbliss"
"32","RT @pinkvilla: http://t.co/ZoynU5puS8 - 'I' hits the bull's eye, collects over Rs.100 crore @iamAmyJackson #Vikram #UpenPatel #I",FALSE,0,NA,2015-01-20 07:35:41,FALSE,NA,"557441318582894592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iamS5J",13,TRUE,FALSE,NA,NA,"https://twitter.com/iamS5J"
"33","RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydD…",FALSE,0,NA,2015-01-20 07:35:29,FALSE,NA,"557441265793372161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A_for_Shreya",8,TRUE,FALSE,NA,NA,"https://twitter.com/A_for_Shreya"
"34","@DaburHoney_Ind #Jealubbies 5. Jealubbies = the husbands who look at their wives and go ' the grapes are sour. ' because they cant work hard",FALSE,0,"DaburHoney_Ind",2015-01-20 07:34:51,FALSE,NA,"557441106917335040","2443805311","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vikram_sun",0,FALSE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"35","RT @chiyaanvikram: #Chiyaan #Vikram's '#I' Storms #UK Box Office 

#Imovie @Aascars @iamAmyJackson 

http://t.co/uYfYWC5T1g http://t.co/8n9…",FALSE,0,NA,2015-01-20 07:34:46,FALSE,NA,"557441085652230146",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avisbliss",55,TRUE,FALSE,NA,NA,"https://twitter.com/avisbliss"
"36","RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,0,NA,2015-01-20 07:34:45,FALSE,NA,"557441081722552320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Diviforlife",9,TRUE,FALSE,NA,NA,"https://twitter.com/Diviforlife"
"37","RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,0,NA,2015-01-20 07:34:37,FALSE,NA,"557441046943379456",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","MDMUSLIMKHAN2",9,TRUE,FALSE,NA,NA,"https://twitter.com/MDMUSLIMKHAN2"
"38","RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/…",FALSE,0,NA,2015-01-20 07:34:14,FALSE,NA,"557440952734740481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avisbliss",21,TRUE,FALSE,NA,NA,"https://twitter.com/avisbliss"
"39","RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shank…",FALSE,0,NA,2015-01-20 07:34:09,FALSE,NA,"557440932589473792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avisbliss",19,TRUE,FALSE,NA,NA,"https://twitter.com/avisbliss"
"40","RT @DaburHoney_Ind: Q5. Define #Jealubbies in one line.
#contest",FALSE,0,NA,2015-01-20 07:34:06,FALSE,NA,"557440917922009088",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vikram_sun",81,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"41","RT @KPMGIndia: Lief Zierz, Global Head (T&amp;R), #KPMG &amp; Vikram Hosangady, Partner, @KPMGIndia in conversation with @EconomicTimes : http://t.…",FALSE,0,NA,2015-01-20 07:33:41,FALSE,NA,"557440813236768769",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","AvinashCollege",1,TRUE,FALSE,NA,NA,"https://twitter.com/AvinashCollege"
"42","RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydD…",FALSE,0,NA,2015-01-20 07:33:38,FALSE,NA,"557440802050154497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pradeepan2",8,TRUE,FALSE,NA,NA,"https://twitter.com/pradeepan2"
"43","RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,0,NA,2015-01-20 07:33:37,FALSE,NA,"557440795335069697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamfariya",9,TRUE,FALSE,NA,NA,"https://twitter.com/iamfariya"
"44","RT @ASUSIndia: We are giving away some really cool gift hampers, so make sure you send in the right answers. Are you having fun with our #E…",FALSE,0,NA,2015-01-20 07:33:35,FALSE,NA,"557440788536111104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vikram_sun",71,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"45","A new video from #Volga.Video has been posted. Check it out here: http://t.co/0O6y5BObpu  ""Intelligent Idiots Love Trailer - Vikram Sekhar,",FALSE,0,NA,2015-01-20 07:33:22,FALSE,NA,"557440734035734528",NA,"<a href=""http://www.getwildcards.com"" rel=""nofollow"">Milyoni Social Cinema</a>","ThimblMovies",0,FALSE,FALSE,NA,NA,"https://twitter.com/ThimblMovies"
"46","A new video from #Volga.Video has been posted. Check it out here: http://t.co/F7sHwDyRdj  ""Intelligent Idiots Song Trailer - Vikram Sekhar,",FALSE,0,NA,2015-01-20 07:33:13,FALSE,NA,"557440696475742208",NA,"<a href=""http://www.getwildcards.com"" rel=""nofollow"">Milyoni Social Cinema</a>","ThimblMovies",0,FALSE,FALSE,NA,NA,"https://twitter.com/ThimblMovies"
"47","A new video from #Volga.Video has been posted. Check it out here: http://t.co/DDY6Qe8PAc  ""Intelligent Idiots Comedy Trailer - Vikram Sekha",FALSE,0,NA,2015-01-20 07:33:08,FALSE,NA,"557440673797111808",NA,"<a href=""http://www.getwildcards.com"" rel=""nofollow"">Milyoni Social Cinema</a>","ThimblMovies",0,FALSE,FALSE,NA,NA,"https://twitter.com/ThimblMovies"
"48","A new video from #Volga.Video has been posted. Check it out here: http://t.co/9aH7VQY0YP  ""Intelligent Idiots Comedy Trailer - Vikram Sekha",FALSE,0,NA,2015-01-20 07:33:02,FALSE,NA,"557440652422942720",NA,"<a href=""http://www.getwildcards.com"" rel=""nofollow"">Milyoni Social Cinema</a>","ThimblMovies",0,FALSE,FALSE,NA,NA,"https://twitter.com/ThimblMovies"
"49","RT @itisprashanth: Rajini,  kamal,  vijay and now vikram in the elite 100 crore club. He totally deserves it for all his hard work. #I",FALSE,0,NA,2015-01-20 07:33:01,FALSE,NA,"557440644465967104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Autonagar_Chai",203,TRUE,FALSE,NA,NA,"https://twitter.com/Autonagar_Chai"
"50","A new video from #Volga.Video has been posted. Check it out here: http://t.co/IWNZzflLbI  ""Intelligent Idiots Back 2 Back Trailers - Vikram",FALSE,0,NA,2015-01-20 07:32:57,FALSE,NA,"557440627554922496",NA,"<a href=""http://www.getwildcards.com"" rel=""nofollow"">Milyoni Social Cinema</a>","ThimblMovies",0,FALSE,FALSE,NA,NA,"https://twitter.com/ThimblMovies"
"51","RT @pinkvilla: http://t.co/ZoynU5puS8 - 'I' hits the bull's eye, collects over Rs.100 crore @iamAmyJackson #Vikram #UpenPatel #I",FALSE,0,NA,2015-01-20 07:32:45,FALSE,NA,"557440577415819264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ningarajbjp",13,TRUE,FALSE,NA,NA,"https://twitter.com/ningarajbjp"
"52","RT @BollywoodWiki: Vikram's 'I' hits the bull's eye; collects over Rs 100 crore in its opening weekend worldwide http://t.co/7jbVEX4apb",FALSE,0,NA,2015-01-20 07:32:41,FALSE,NA,"557440562828029952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MovifiedBolly",13,TRUE,FALSE,NA,NA,"https://twitter.com/MovifiedBolly"
"53","RT @BollywoodWiki: Vikram's 'I' hits the bull's eye; collects over Rs 100 crore in its opening weekend worldwide http://t.co/7jbVEX4apb",FALSE,0,NA,2015-01-20 07:32:37,FALSE,NA,"557440543995617280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ravinkumar2911",13,TRUE,FALSE,NA,NA,"https://twitter.com/ravinkumar2911"
"54","RT @DaburHoney_Ind: Time for the 5th question!!
Are you ready for it? RT NOW #Jealubbies",FALSE,0,NA,2015-01-20 07:32:30,FALSE,NA,"557440515554017280",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vikram_sun",75,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"55","RT @igtamil: Lingesan 'Lee' #Vikram and Diya #AmyJackson get candid!

#IMovie #Shankar #Chiyaan #AiMovie #ARRahman http://t.co/ZcFsXY7w4o",FALSE,0,NA,2015-01-20 07:32:11,FALSE,NA,"557440434704637952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SimonRaj_Suria",4,TRUE,FALSE,NA,NA,"https://twitter.com/SimonRaj_Suria"
"56","RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,0,NA,2015-01-20 07:31:46,FALSE,NA,"557440332271333376",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SRKswarrior1",9,TRUE,FALSE,NA,NA,"https://twitter.com/SRKswarrior1"
"57","RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,0,NA,2015-01-20 07:31:41,FALSE,NA,"557440312805572611",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShivaKap",9,TRUE,FALSE,NA,NA,"https://twitter.com/ShivaKap"
"58","RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,0,NA,2015-01-20 07:31:39,FALSE,NA,"557440301904568322",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SajithMSNair",9,TRUE,FALSE,NA,NA,"https://twitter.com/SajithMSNair"
"59","#I Collected Huge 95cr Nett In Just 5 Days(India Only)..8.50Cr Nett In North India &amp; WOM Is Very Positive Here..Congo Vikram &amp; Shankar",FALSE,1,NA,2015-01-20 07:31:34,FALSE,NA,"557440279977152512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Addi_Salman",1,FALSE,FALSE,NA,NA,"https://twitter.com/Addi_Salman"
"60","What Did Vikram Do With His Salary Earned From I(Ai)? 

Read more at: http://t.co/MFl9vsziCj http://t.co/tMxBPye9i1",FALSE,5,NA,2015-01-20 07:31:31,FALSE,NA,"557440267540656130",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tamil_films",2,FALSE,FALSE,NA,NA,"https://twitter.com/tamil_films"
"61","RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,0,NA,2015-01-20 07:31:16,FALSE,NA,"557440207000051712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IndiaToday",9,TRUE,FALSE,NA,NA,"https://twitter.com/IndiaToday"
"62","'I' Theatrical Trailer [Official] | Aascar | Shankar, Chiyaan Vikram, Am...: http://t.co/cTWhzVeiDz via @YouTube",FALSE,0,NA,2015-01-20 07:31:14,FALSE,NA,"557440198422720514",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mathi48596931",0,FALSE,FALSE,NA,NA,"https://twitter.com/mathi48596931"
"63","I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk",FALSE,9,NA,2015-01-20 07:30:34,FALSE,NA,"557440031636221952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Showbiz_IT",9,FALSE,FALSE,NA,NA,"https://twitter.com/Showbiz_IT"
"64","RT @LavaMobile: Which Lava smartphone was launched in May 2014 with a big bang? #MyLava contest",FALSE,0,NA,2015-01-20 07:30:31,FALSE,NA,"557440016754823169",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vikram_sun",22,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
"65","Lief Zierz, Global Head (T&amp;R), #KPMG &amp; Vikram Hosangady, Partner, @KPMGIndia in conversation with @EconomicTimes : http://t.co/gkJgQzlCus",FALSE,0,NA,2015-01-20 07:30:18,FALSE,NA,"557439960748666880",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","KPMGIndia",1,FALSE,FALSE,NA,NA,"https://twitter.com/KPMGIndia"
"66","@Cinenewsworld 

Pls tell us your next movie after idhu enna maayam (vikram prabhu)",FALSE,0,"Cinenewsworld",2015-01-20 07:30:05,FALSE,"557069448763305984","557439909544624130","777654068","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saharani2",0,FALSE,FALSE,NA,NA,"https://twitter.com/saharani2"
"67","RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/…",FALSE,0,NA,2015-01-20 07:29:54,FALSE,NA,"557439862266015744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nishukickK",21,TRUE,FALSE,NA,NA,"https://twitter.com/nishukickK"
"68","RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shank…",FALSE,0,NA,2015-01-20 07:29:40,FALSE,NA,"557439804703375360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suganthm",19,TRUE,FALSE,NA,NA,"https://twitter.com/suganthm"
"69","RT @utvfilms: Also big congrats to our very own 'Vikram Singh Rathore' @_fawadakhan_ for his nomination in #BestDebut (Male) at the #Filmfa…",FALSE,0,NA,2015-01-20 07:29:31,FALSE,NA,"557439763620175872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rafay_Ehsan",12,TRUE,FALSE,NA,NA,"https://twitter.com/Rafay_Ehsan"
"70","RT @DaburHoney_Ind: 4 questions are already out! You can find all the answers at http://t.co/tnT4tUXSFF

RT &amp; participate now #Jealubbies",FALSE,0,NA,2015-01-20 07:29:15,FALSE,NA,"557439697505767424",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vikram_sun",71,TRUE,FALSE,NA,NA,"https://twitter.com/vikram_sun"
