"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 03:10:01,0.158152901588215,"z133ux1zqynjt1jai04cfl0aeozmd50av50","109792081837579676216","post",0,0,0,"photo","Allu Arjun, Trivikram&#39;s #Husharu ! @ http://goo.gl/yHZ1Qz #Alluarjun   #Samantha   #Trivikram  ﻿","https://plus.google.com/109792081837579676216"
"2",2015-01-19 15:14:49,0.654821227115613,"z13ad31wbw2ee3irb04cjbfg2kaeuvzwke4","105069700762249140042","post",0,0,0,"video","#Sonusood sorry to #Alluarjun#News #Telugunews #TelanganaNEWS #AndhraPradeshnews #abnnews﻿","https://plus.google.com/105069700762249140042"
"3",2015-01-19 09:48:38,0.881330745810712,"z12hxdgxvuqzhlkuc23it3fjao2vzjpvu","107471465938378724580","post",0,1,0,"photo","How was the Making Video Journal - 3 of Rudhramadevi#AlluArjun as #GonaGannaReddy? ? Don&#39;t forget to Subscribe to our Official YouTube channel ..We&#39;ve more videos coming up !http://youtu.be/nnmzubvoaroHere&#39;s a Freeze Frame Shot of Stylish Star #AlluArjun﻿","https://plus.google.com/107471465938378724580"
"4",2015-01-19 05:11:33,1.07375158490406,"z12kxlwxrsbrxl4kq23vwnyhto2usnjm4","115849892004072159478","post",0,1,0,"photo","#AlluArjun’s next film titled as Husharu﻿","https://plus.google.com/115849892004072159478"
"5",2015-01-19 04:36:48,1.09789296704862,"z13ecxgyjwesclb3m23pxtxakrvtzbw4h04","109877100101054999176","post",0,1,0,"article","#AlluArjun’s next film titled as #Husharu?To Watch this news click on the link ►► http://goo.gl/8xiU20  ﻿","https://plus.google.com/109877100101054999176"
"6",2015-01-18 06:47:37,2.00704402490071,"z12lfpej0o3ysn0aa04cjfdz2negepzb5qw0k","118271760954552713211","share",0,0,0,"article","Merry Christmas to all Allu Arjun Fans#MerryChristmas to All #AlluArjun fans﻿","https://plus.google.com/118271760954552713211"
"7",2015-01-17 12:56:08,2.7511279795512,"z13wjlnpkxahtvtev22wc1mpbwmdc1qtc","109792081837579676216","post",0,0,0,"photo","#AlluArjun&#39;s film fresh schedule details @ http://goo.gl/pdWUdo﻿","https://plus.google.com/109792081837579676216"
"8",2015-01-17 12:41:46,2.76109975020091,"z12twvppuoidtxbvi22ajvpieveaffpqm04","102934154256966017167","post",0,1,0,"article","Stylish Star in a love story flick ? http://bit.ly/1xB3YMq | #AlluArjun﻿","https://plus.google.com/102934154256966017167"
"9",2015-01-17 11:13:26,2.82244579122022,"z13hcli5ytflcfjia04cjfdz2negepzb5qw0k","118271760954552713211","share",0,0,0,"photo"," #alluarjun  ﻿","https://plus.google.com/118271760954552713211"
"10",2015-01-17 11:13:18,2.822535340499,"z12ytbewgquwszair04cjfdz2negepzb5qw0k","118271760954552713211","share",0,0,0,"photo"," #AlluArjun  ﻿","https://plus.google.com/118271760954552713211"
"11",2015-01-17 11:06:03,2.82758022611616,"z12vf5eg5tzbsh4lg23lyjejfsyngzypu04","117982673036305217675","share",0,0,0,"photo"," #alluarjun  ﻿","https://plus.google.com/117982673036305217675"
"12",2015-01-17 10:27:57,2.85403242296367,"z12efpawpv3nz35vx23ws3codzy4s1hvp","108725079662737555814","post",0,0,0,"article"," #vijaykumarkonda   #alluarjun   #megafamilyunited   #tollywoodmovies   #movies2015   #telugumovie  ﻿","https://plus.google.com/108725079662737555814"
"13",2015-01-17 05:30:02,3.06091647227053,"z132sr1i5qrwi3qco22zh55pqljgddguo","112741708539543231304","post",0,3,0,"photo"," #Alluarjun  New look From  #Rudhramadevi For More Latest Updates &gt;&gt;  http://bit.ly/1xmzWCy﻿","https://plus.google.com/112741708539543231304"
"14",2015-01-16 19:45:50,3.46661650838675,"z12bxrnxpnmydrdwf04cg1jjyrrlgn3p3o40k","117936954563187406730","post",0,1,0,"article"," #Rudhramadevi   #AnushkaShetty   #AlluArjun   #rudhramadevi-anushka  +AnushkaShetty ﻿","https://plus.google.com/117936954563187406730"
"15",2015-01-16 14:52:46,3.67013966383206,"z13qexybwvzujzkjl04ccbzqeyvzsphi20k","109738930938005410149","share",0,0,0,"photo"," #AlluArjun  Pic Of The DAy﻿","https://plus.google.com/109738930938005410149"
"16",2015-01-16 13:47:45,3.71528727523707,"z13ldryhwvvbylavy23uujsoun2pjtthr04","118271760954552713211","share",0,0,0,"photo"," #AlluArjun   #Selfie  ﻿","https://plus.google.com/118271760954552713211"
"17",2015-01-16 13:41:17,3.71977386163893,"z12xuhaqgoudvzb5g04cjfdz2negepzb5qw0k","118271760954552713211","share",0,0,0,"article","First Look Posters of #AlluArjun&#39;s Untitled Film, Jr NTR&#39;s &#39;Temper&#39; to Release SoonIt seems to be the season of first looks in Telugu film industry. It is already confirmed that the first look poster of Pawan Kalyan-Venkatesh&#39;s &quot;Gopala Gopala&quot; will be unveiled on Friday, 28 November. Now, the first look posters of Allu Arjun-Trivikram Sri...﻿","https://plus.google.com/118271760954552713211"
"18",2015-01-16 13:41:17,3.71977243823034,"z12hizxbbo2stlazl04cjfdz2negepzb5qw0k","118271760954552713211","share",0,0,0,"article","First Look Posters of #AlluArjun&#39;s Untitled Film, Jr NTR&#39;s &#39;Temper&#39; to Release SoonIt seems to be the season of first looks in Telugu film industry. It is already confirmed that the first look poster of Pawan Kalyan-Venkatesh&#39;s &quot;Gopala Gopala&quot; will be unveiled on Friday, 28 November. Now, the first look posters of Allu Arjun-Trivikram Sri...﻿","https://plus.google.com/118271760954552713211"
"19",2015-01-16 13:41:04,3.71992215027964,"z12xghv5zlqqt3o3r23uujsoun2pjtthr04","118271760954552713211","share",0,0,0,"article","#RaceGurram #Lucky #AlluArjun Fan made poster﻿","https://plus.google.com/118271760954552713211"
"20",2015-01-16 13:40:26,3.72036247599456,"z122u3kpfprxyb5eg23uujsoun2pjtthr04","118271760954552713211","share",0,0,0,"article","Still from Yevadu#Yevadu #alluarjun #ramcharan﻿","https://plus.google.com/118271760954552713211"
"21",2015-01-16 13:39:26,3.72106327303306,"z12ce3xxsoecjze4h04cjfdz2negepzb5qw0k","118271760954552713211","share",0,0,0,"article","#AlluArjun as #GonaGannaReddy New Look From #RudhramadeviHere&#39;s # AlluArjun as # GonaGannaReddy New Look From # Rudhramadevi﻿","https://plus.google.com/118271760954552713211"
"22",2015-01-16 13:39:26,3.72106426099936,"z13dcfayzrutudaj504cjfdz2negepzb5qw0k","118271760954552713211","share",0,0,0,"article","#AlluArjun as #GonaGannaReddy New Look From #RudhramadeviHere&#39;s # AlluArjun as # GonaGannaReddy New Look From # Rudhramadevi﻿","https://plus.google.com/118271760954552713211"
"23",2015-01-16 13:38:56,3.72140987190659,"z120hxmicoybibei204cjfdz2negepzb5qw0k","118271760954552713211","share",0,0,0,"article","Happy New Year 2015Happy New Year 2015  +TheAlluArjun   #alluarjun  +Allu Arjun Official Fan Page    +Allu Arjun  ﻿","https://plus.google.com/118271760954552713211"
"24",2015-01-16 13:38:56,3.7214117962867,"z13ptfnhwyvfhbif123uujsoun2pjtthr04","118271760954552713211","share",0,0,0,"article","Happy New Year 2015Happy New Year 2015  +TheAlluArjun   #alluarjun  +Allu Arjun Official Fan Page    +Allu Arjun  ﻿","https://plus.google.com/118271760954552713211"
"25",2015-01-15 17:26:41,4.56325296763193,"z13sw1wp0pjeytct323fdr5hiy3uixs5104","111852105096946151014","share",0,0,0,"article","#AlluArjun as #GonaGannaReddy New Look From #RudhramadeviHere&#39;s # AlluArjun as # GonaGannaReddy New Look From # Rudhramadevi﻿","https://plus.google.com/111852105096946151014"
"26",2015-01-15 16:01:03,4.62271642552758,"z12rzbkj3lqyt1aer22bgjia4pzecdipb04","111307286514129654519","post",0,0,0,"photo","#AlluArjun #Rudhramadevi Making Video Journal-3 @ http://goo.gl/iAUHPH﻿","https://plus.google.com/111307286514129654519"
"27",2015-01-15 15:17:05,4.65324526622615,"z13xwtrxdqind320i22wc1mpbwmdc1qtc","109792081837579676216","post",0,0,0,"photo","#AlluArjun as Gona Ganna Reddy Making Video @ http://goo.gl/v3pMxF﻿","https://plus.google.com/109792081837579676216"
"28",2015-01-15 11:20:32,4.81752287428964,"z122hzojonzeepcxg04cjbfg2kaeuvzwke4","105069700762249140042","post",0,0,0,"article","&#39;#Rudhramadevi&#39; #AlluArjun will prove to be a terrifying antagonist for #AnushkaShetty in #Gunasekhar&#39;s next#News #Telugunews #TelanganaNEWS #AndhraPradeshnews #abnnews﻿","https://plus.google.com/105069700762249140042"
"29",2015-01-15 05:42:59,5.05192553722748,"z13octuzhnubyb0xm04cctziptfhcthiquc0k","102934154256966017167","post",0,0,0,"article","Gona Ganna Reddy Making Video | #AlluArjun | #Rudhramadevicheck this out &gt;&gt;&gt;http://www.andhrawishesh.com/telugu-film-movies/movie-news/48360-gona-ganna-reddy-making-video.html﻿","https://plus.google.com/102934154256966017167"
"30",2015-01-15 04:34:15,5.0996647471769,"z121cvyz5qiyjjyzv04cibtxdxj3uhnzurc0k","117982673036305217675","share",0,0,0,"photo"," #alluarjun  &amp;  #hansika  ﻿","https://plus.google.com/117982673036305217675"
"31",2015-01-15 04:12:32,5.11474693375329,"z12autip4xrjdflld22mvbj5lybes5rzy04","105410583006682627600","post",0,0,0,"article","#AlluArjun  #Rudhramadevi   #AnushkaShetty  Rudhramadevi making video journal released﻿","https://plus.google.com/105410583006682627600"
"32",2015-01-14 23:49:01,5.29774365798743,"z12tj5cyxnfhtr5be04chzjjtrijszchwag","111787223860811188602","share",0,0,0,"article","#AlluArjun as #GonaGannaReddy New Look From #RudhramadeviHere&#39;s # AlluArjun as # GonaGannaReddy New Look From # Rudhramadevi﻿","https://plus.google.com/111787223860811188602"
"33",2015-01-14 17:50:09,5.54695553224396,"z12gi3u4xzqqhnald23yxrkikyihc3cjz04","115213941810980176175","post",0,0,0,"article"," #alluarjun   #rudhramadevi  ﻿","https://plus.google.com/115213941810980176175"
"34",2015-01-14 17:31:25,5.5599641216022,"z13gxvfhymi1xzvaj04cff0izkmstlcznj4","112588753288452682007","share",0,0,0,"article","#AlluArjun as #GonaGannaReddy New Look From #RudhramadeviHere&#39;s # AlluArjun as # GonaGannaReddy New Look From # Rudhramadevi﻿","https://plus.google.com/112588753288452682007"
